frame,r,g,b
0,142,147,146
0,143,148,147
0,142,147,146
0,142,147,146
0,152,156,159
0,139,144,142
0,143,148,147
0,142,147,146
0,143,148,147
0,149,153,157
0,139,144,142
0,143,148,147
0,142,147,146
0,145,149,148
0,148,153,153
0,80,88,51
0,143,148,149
0,141,146,144
0,140,145,143
0,145,149,148
0,78,89,51
0,142,147,146
0,141,146,144
0,136,141,140
0,143,148,147
1,153,157,160
1,147,151,154
1,161,164,172
1,149,154,155
1,147,151,152
1,152,156,159
1,147,151,152
1,156,161,161
1,142,147,146
1,145,149,148
1,148,153,153
1,154,153,156
1,141,147,140
1,148,145,37
1,146,151,149
1,78,89,51
1,145,149,148
1,143,148,147
1,143,148,147
1,148,153,153
1,95,102,63
1,136,141,140
1,143,149,145
1,146,150,151
1,143,148,147
2,167,169,182
2,162,165,173
2,152,155,163
2,149,153,157
2,145,149,150
2,156,160,166
2,163,167,173
2,152,156,159
2,146,151,149
2,143,148,147
2,95,105,68
2,160,164,167
2,152,152,157
2,148,140,36
2,136,141,140
2,135,141,105
2,168,172,175
2,155,154,159
2,143,148,147
2,140,145,143
2,156,160,164
2,166,167,185
2,145,149,152
2,139,144,142
2,142,147,146
3,157,166,181
3,156,165,180
3,147,156,171
3,160,169,182
3,165,174,192
3,163,172,187
3,157,166,181
3,150,160,170
3,161,170,185
3,164,173,188
3,96,114,69
3,87,104,73
3,148,156,165
3,166,163,52
3,163,172,187
3,147,157,167
3,156,165,180
3,156,165,180
3,165,175,188
3,166,177,194
3,153,162,177
3,150,157,168
3,150,160,170
3,164,174,186
3,169,178,191
4,149,158,173
4,158,165,176
4,156,165,178
4,162,171,186
4,147,157,165
4,156,166,176
4,158,167,183
4,155,165,175
4,158,168,181
4,170,179,196
4,153,162,173
4,100,115,78
4,94,113,68
4,93,111,71
4,169,178,193
4,148,158,168
4,158,165,176
4,149,159,169
4,155,165,175
4,167,176,189
4,148,158,164
4,152,159,170
4,150,158,160
4,161,157,54
4,161,171,181
5,176,183,199
5,158,165,174
5,151,159,165
5,146,150,153
5,154,162,169
5,181,190,205
5,156,160,166
5,150,158,160
5,147,151,152
5,152,161,162
5,175,182,198
5,150,158,160
5,87,102,63
5,93,108,69
5,87,101,69
5,176,184,195
5,152,156,159
5,159,163,166
5,153,158,156
5,160,167,179
5,171,174,187
5,148,152,155
5,154,158,161
5,155,152,48
5,162,166,169
6,148,152,155
6,148,152,155
6,152,156,159
6,152,156,159
6,154,158,161
6,152,154,165
6,149,153,159
6,150,154,162
6,152,156,159
6,152,156,159
6,152,156,159
6,150,154,158
6,157,157,157
6,98,104,68
6,91,102,64
6,149,153,161
6,152,156,157
6,153,157,160
6,154,153,156
6,121,127,93
6,149,153,157
6,150,154,158
6,154,158,161
6,147,149,43
6,152,156,159
7,150,153,164
7,147,151,154
7,153,156,166
7,150,154,160
7,152,154,165
7,150,153,164
7,147,151,152
7,155,158,166
7,152,156,157
7,152,156,159
7,152,154,167
7,149,153,161
7,156,159,172
7,152,156,159
7,86,97,61
7,149,152,163
7,152,154,165
7,154,158,161
7,152,156,157
7,86,97,59
7,153,156,166
7,153,157,160
7,156,158,157
7,155,148,36
7,122,128,90
8,182,189,212
8,179,188,206
8,158,164,180
8,157,163,179
8,161,169,187
8,175,183,201
8,186,195,215
8,167,175,193
8,152,159,170
8,156,166,176
8,171,177,195
8,172,182,195
8,181,188,202
8,151,160,161
8,97,113,71
8,166,172,188
8,172,179,192
8,168,158,54
8,161,169,180
8,83,97,67
8,160,167,183
8,168,175,191
8,163,172,187
8,98,114,75
8,102,112,75
9,157,160,171
9,162,165,177
9,163,166,179
9,160,162,175
9,162,165,177
9,156,160,164
9,157,160,173
9,161,164,172
9,163,167,175
9,160,162,175
9,156,159,172
9,157,160,173
9,160,164,167
9,160,162,175
9,160,164,165
9,154,157,165
9,156,160,164
9,155,152,46
9,156,161,161
9,102,108,72
9,154,157,167
9,154,158,163
9,100,111,73
9,89,100,60
9,102,109,70
10,157,164,173
10,160,163,171
10,160,163,173
10,155,158,168
10,160,162,175
10,160,162,175
