frame,r,g,b
0,136,141,140
0,148,153,153
0,150,154,158
0,149,153,157
0,159,159,161
0,139,144,142
0,147,151,152
0,152,155,161
0,152,155,161
0,174,178,181
0,143,148,147
0,146,151,149
0,152,156,159
0,154,158,159
0,168,172,177
0,145,149,148
0,147,151,152
0,154,158,159
0,166,169,175
0,168,172,175
0,145,149,150
0,150,150,152
0,188,118,142
0,168,172,175
0,166,170,173
1,159,163,166
1,162,166,169
1,166,170,173
1,155,160,160
1,160,164,167
1,154,158,163
1,161,165,170
1,163,167,173
1,152,156,155
1,156,161,161
1,153,157,158
1,157,162,163
1,189,122,144
1,149,154,152
1,157,162,163
1,152,156,157
1,182,107,135
1,153,157,158
1,188,118,142
1,156,161,161
1,177,109,137
1,146,151,149
1,147,152,150
1,149,154,155
1,179,111,136
2,168,171,181
2,169,172,182
2,199,134,156
2,157,161,165
2,163,166,179
2,167,170,178
2,190,128,149
2,163,166,179
2,196,134,155
2,160,163,169
2,190,123,146
2,155,159,162
2,157,161,167
2,161,164,172
2,194,126,149
2,153,156,162
2,199,107,141
2,158,157,164
2,190,130,150
2,155,159,164
2,149,153,157
2,155,159,162
2,190,115,143
2,153,157,160
2,158,158,162
3,193,121,146
3,174,176,189
3,176,178,193
3,177,180,191
3,207,137,161
3,156,159,170
3,211,138,165
3,173,175,188
3,209,134,159
3,166,168,181
3,159,161,176
3,168,170,183
3,193,144,161
3,168,172,177
3,160,163,169
3,165,163,177
3,200,121,148
3,163,166,177
3,193,128,150
3,157,161,167
3,187,119,142
3,156,160,168
3,157,161,169
3,160,164,167
3,196,116,145
4,164,167,180
4,167,170,180
4,189,141,159
4,160,162,175
4,163,166,177
4,160,163,173
4,191,124,147
4,161,163,176
4,189,141,157
4,161,164,174
4,189,124,146
4,153,155,168
4,159,162,168
4,161,164,174
4,190,137,155
4,153,156,166
4,185,125,146
4,154,156,169
4,186,121,143
4,154,157,167
4,149,153,161
4,152,155,163
4,180,117,141
4,148,152,155
4,149,153,157
5,210,148,178
5,176,179,191
5,177,180,191
5,180,182,195
5,212,135,161
5,173,175,190
5,216,141,166
5,182,180,192
5,209,133,154
5,171,175,183
5,173,175,186
5,180,182,195
5,213,136,162
5,170,174,182
5,173,176,184
5,180,182,195
5,178,181,192
5,170,174,179
5,173,175,188
5,174,177,183
5,177,180,193
5,174,176,189
5,171,175,181
5,175,178,186
5,173,177,180
